ID,LATITUDE,LONGITUDE
1103,47.25,7.25
1104,47.75,7.25
1105,48.25,7.25
1106,48.75,7.25
1107,49.25,7.25
1108,49.75,7.25
1109,50.25,7.25
1110,50.75,7.25
1111,51.25,7.25
1112,51.75,7.25
1113,52.25,7.25
1114,52.75,7.25
1115,53.25,7.25
1116,58.75,7.25
1117,59.25,7.25
1118,59.75,7.25
1119,60.25,7.25
1120,61.25,7.25
1121,62.25,7.25
1122,62.75,7.25
1123,31.75,7.75
1124,32.25,7.75
1125,32.75,7.75
1126,33.25,7.75
1127,33.75,7.75
1128,34.25,7.75
1129,34.75,7.75
1130,35.25,7.75
1131,35.75,7.75
1132,36.25,7.75
1133,36.75,7.75
1134,44.25,7.75
1135,44.75,7.75
1136,45.25,7.75
1137,45.75,7.75
1138,46.75,7.75
1139,47.25,7.75
1140,47.75,7.75
1141,48.25,7.75
1142,48.75,7.75
1143,49.25,7.75
1144,49.75,7.75
1145,50.25,7.75
1146,50.75,7.75
1147,51.25,7.75
1148,51.75,7.75
1149,52.25,7.75
1150,52.75,7.75
1151,53.25,7.75
1152,53.75,7.75
1153,58.25,7.75
1154,58.75,7.75
1155,59.25,7.75
1156,59.75,7.75
1157,60.25,7.75
1158,60.75,7.75
1159,61.25,7.75
1160,61.75,7.75
1161,62.25,7.75
1162,62.75,7.75
1163,31.75,8.25
1164,32.25,8.25
1165,32.75,8.25
1166,33.25,8.25
1167,33.75,8.25
1168,34.25,8.25
1169,34.75,8.25
1170,35.25,8.25
1171,35.75,8.25
1172,36.25,8.25
1173,36.75,8.25
1174,44.25,8.25
1175,44.75,8.25
1176,45.25,8.25
1177,45.75,8.25
1178,47.25,8.25
1179,47.75,8.25
1180,48.25,8.25
1181,48.75,8.25
1182,49.25,8.25
1183,49.75,8.25
1184,50.25,8.25
1185,50.75,8.25
1186,51.25,8.25
1187,51.75,8.25
1188,52.25,8.25
1189,52.75,8.25
1190,53.25,8.25
1191,58.75,8.25
1192,59.25,8.25
1193,59.75,8.25
1194,60.25,8.25
1195,60.75,8.25
1196,61.25,8.25
1197,61.75,8.25
1198,62.25,8.25
1199,62.75,8.25
1200,31.25,8.75
1201,31.75,8.75
1202,32.25,8.75
1203,32.75,8.75
1204,33.25,8.75
1205,33.75,8.75
1206,34.25,8.75
1207,34.75,8.75
1208,35.25,8.75
1209,35.75,8.75
1210,36.25,8.75
1211,36.75,8.75
1212,39.25,8.75
1213,40.75,8.75
1214,44.75,8.75
1215,45.25,8.75
1216,45.75,8.75
1217,46.25,8.75
1218,46.75,8.75
1219,47.25,8.75
1220,47.75,8.75
1221,48.25,8.75
1222,48.75,8.75
1223,49.25,8.75
1224,49.75,8.75
1225,50.25,8.75
1226,50.75,8.75
1227,51.25,8.75
1228,51.75,8.75
1229,52.25,8.75
1230,52.75,8.75
1231,53.25,8.75
1232,53.75,8.75
1233,55.75,8.75
1234,56.25,8.75
1235,56.75,8.75
1236,58.75,8.75
1237,59.25,8.75
1238,59.75,8.75
1239,60.25,8.75
1240,60.75,8.75
1241,61.25,8.75
1242,61.75,8.75
1243,62.25,8.75
1244,62.75,8.75
1245,63.25,8.75
1246,31.25,9.25
1247,31.75,9.25
1248,32.25,9.25
1249,32.75,9.25
1250,33.25,9.25
1251,33.75,9.25
1252,34.25,9.25
1253,34.75,9.25
1254,35.25,9.25
1255,35.75,9.25
1256,36.25,9.25
1257,36.75,9.25
1258,39.25,9.25
1259,39.75,9.25
1260,40.25,9.25
1261,40.75,9.25
1262,41.75,9.25
1263,42.25,9.25
1264,42.75,9.25
1265,44.75,9.25
1266,45.25,9.25
1267,45.75,9.25
1268,46.25,9.25
1269,46.75,9.25
1270,47.25,9.25
1271,47.75,9.25
1272,48.25,9.25
1273,48.75,9.25
1274,49.25,9.25
1275,49.75,9.25
1276,50.25,9.25
1277,50.75,9.25
1278,51.25,9.25
1279,51.75,9.25
1280,52.25,9.25
1281,52.75,9.25
1282,53.25,9.25
1283,53.75,9.25
1284,55.25,9.25
1285,55.75,9.25
1286,56.25,9.25
1287,56.75,9.25
1288,58.75,9.25
1289,59.25,9.25
1290,59.75,9.25
1291,60.25,9.25
1292,60.75,9.25
1293,61.25,9.25
1294,61.75,9.25
1295,62.25,9.25
1296,62.75,9.25
